doi,title_cleaned,journal_name_cleaned,features_union_titre_journal,bso_classification
10.1109/CLEOE-EQEC.2019.8872400,temporal localized structure mode locked vertical external cavity surface emitting laser,conference laser electro optic europe european quantum electronics conference cleo europe eqec,temporal localized structure mode locked vertical external cavity surface emitting laser conference laser electro optic europe european quantum electronics conference cleo europe eqec,"Physical sciences, Astronomy"
10.1103/PhysRevApplied.12.054007,observation intersubband absorption zno coupled quantum well,physical review applied,observation intersubband absorption zno coupled quantum well physical review applied,"Physical sciences, Astronomy"
10.1109/CLEOE-EQEC.2019.8872563,towards semiconductor based metasurfaces,conference laser electro optic europe european quantum electronics conference cleo europe eqec,towards semiconductor based metasurfaces conference laser electro optic europe european quantum electronics conference cleo europe eqec,"Physical sciences, Astronomy"
10.23919/EUSIPCO.2019.8902770,tensor train modeling mimo ofdm tensor coding and forwarding relay system,european signal processing conference eusipco,tensor train modeling mimo ofdm tensor coding and forwarding relay system european signal processing conference eusipco,Computer and information sciences
10.1103/PhysRevD.100.104047,shortcoming shapiro delay based test equivalence principle cosmological scale,physical review,shortcoming shapiro delay based test equivalence principle cosmological scale physical review,"Physical sciences, Astronomy"
10.1103/PhysRevD.100.104036,test general relativity binary black hole signal ligo virgo catalog gwtc,physical review,test general relativity binary black hole signal ligo virgo catalog gwtc physical review,"Physical sciences, Astronomy"
10.1029/2018TC005348,nappe de marbres unit basque cantabrian basin tectono thermal evolution fossil hyperextended rift basin,tectonics,nappe de marbres unit basque cantabrian basin tectono thermal evolution fossil hyperextended rift basin tectonics,"Earth, Ecology, Energy and applied biology"
10.1029/2019JE006019,unraveling mechanic thermal stress weathering rate effect size effect scaling law,journal geophysical research planet,unraveling mechanic thermal stress weathering rate effect size effect scaling law journal geophysical research planet,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevA.100.053835,wave condensation weak disorder versus beam self cleaning multimode fiber,physical review,wave condensation weak disorder versus beam self cleaning multimode fiber physical review,"Physical sciences, Astronomy"
10.23919/EuMC.2019.8910706,program,european microwave conference eumc,program european microwave conference eumc,Engineering
10.7151/dmgt.2250,edge weighting bipartite graph odd,discussiones mathematicae graph theory,edge weighting bipartite graph odd discussiones mathematicae graph theory,Mathematics
10.23919/EUSIPCO.2019.8902493,löwner based tensor decomposition blind source separation atrial fibrillation ecg,european signal processing conference eusipco,löwner based tensor decomposition blind source separation atrial fibrillation ecg european signal processing conference eusipco,Computer and information sciences
10.1364/JOSAB.36.002989,influence spatial dispersion surface plasmons nanoparticles grating coupler,journal optical society america,influence spatial dispersion surface plasmons nanoparticles grating coupler journal optical society america,"Physical sciences, Astronomy"
10.1109/MODELS-C.2019.00092,devops meet meta learning portfolio rule,acm ieee international conference model driven engineering language system companion model,devops meet meta learning portfolio rule acm ieee international conference model driven engineering language system companion model,Computer and information sciences
10.3233/FI-2020-1879,hard predict sandpile lattice survey,fundamenta informaticae,hard predict sandpile lattice survey fundamenta informaticae,Computer and information sciences
10.34190/JEL.17.3.003,assessment creativity process game design,electronic journal learning,assessment creativity process game design electronic journal learning,Social sciences
10.23919/EUSIPCO.2019.8902583,biologically constrained encoding solution long term storage image onto synthetic dna,european signal processing conference eusipco,biologically constrained encoding solution long term storage image onto synthetic dna european signal processing conference eusipco,Computer and information sciences
10.23919/EUSIPCO.2019.8902596,compressed sensing extraction atrial fibrillation pattern surface electrocardiogram,european signal processing conference eusipco,compressed sensing extraction atrial fibrillation pattern surface electrocardiogram european signal processing conference eusipco,Computer and information sciences
10.24033/bsmf.2789,holomorphic riemannian metric fundamental group,bulletin société mathématique france,holomorphic riemannian metric fundamental group bulletin société mathématique france,Mathematics
10.1109/WCNPS.2019.8896279,multidimensional decomposition tensor,workshop communication network power system wcnps,multidimensional decomposition tensor workshop communication network power system wcnps,Computer and information sciences
10.23919/EUSIPCO.2019.8903179,efficiency bio inspired leaky integrate and fire neuron signal coding,european signal processing conference eusipco,efficiency bio inspired leaky integrate and fire neuron signal coding european signal processing conference eusipco,Computer and information sciences
10.23919/EUSIPCO.2019.8902719,two way mimo decode and forward relaying system tensor space time coding,european signal processing conference eusipco,two way mimo decode and forward relaying system tensor space time coding european signal processing conference eusipco,Computer and information sciences
10.23919/EUSIPCO.2019.8902826,learning causal network topology streaming graph signal,european signal processing conference eusipco,learning causal network topology streaming graph signal european signal processing conference eusipco,Mathematics
10.1109/BIOCAS.2019.8919163,live demostration sensor fusion using emg vision hand gesture classification mobile application,ieee biomedical circuit system conference biocas,live demostration sensor fusion using emg vision hand gesture classification mobile application ieee biomedical circuit system conference biocas,Computer and information sciences
10.26615/978-954-452-056-4_038,song lyric summarization inspired audio thumbnailing,proceeding natural language processing deep learning world,song lyric summarization inspired audio thumbnailing proceeding natural language processing deep learning world,"Physical sciences, Astronomy"
10.1142/S1793351X19400221,learning based adaptive management qos energy mobile robotic mission,international journal semantic computing,learning based adaptive management qos energy mobile robotic mission international journal semantic computing,Computer and information sciences
10.1142/S0219720019020037,introduction jbcb special issue bioinformatics,journal bioinformatics computational biology,introduction jbcb special issue bioinformatics journal bioinformatics computational biology,Biology (fond.)
10.1017/S1743921318007378,constraining convection across agb high angular resolution observation,proceeding international astronomical union,constraining convection across agb high angular resolution observation proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.35812/CelluloseChemTechnol.2019.53.94,biorefinery product bioresins thermosets based humin epoxidized linseed oil,cellulose chemistry technology,biorefinery product bioresins thermosets based humin epoxidized linseed oil cellulose chemistry technology,Chemistry
10.1109/TASE.2019.00-23,logical approach schedulability analysis ccsl,international symposium theoretical aspect software engineering tase,logical approach schedulability analysis ccsl international symposium theoretical aspect software engineering tase,Computer and information sciences
10.1103/PhysRevA.100.050101,optical lattice based method precise measurement atomic parity violation,physical review,optical lattice based method precise measurement atomic parity violation physical review,"Physical sciences, Astronomy"
10.26615/978-954-452-056-4_039,comparing automated method detect explicit content song lyric,proceeding natural language processing deep learning world,comparing automated method detect explicit content song lyric proceeding natural language processing deep learning world,Computer and information sciences
10.1103/PhysRevLett.123.243401,collective multimode vacuum rabi splitting,physical review letter,collective multimode vacuum rabi splitting physical review letter,"Physical sciences, Astronomy"
10.1109/JMMCT.2019.2962087,comment high order whitney complex simplices,ieee journal multiscale multiphysics computational technique,comment high order whitney complex simplices ieee journal multiscale multiphysics computational technique,"Physical sciences, Astronomy"
10.1103/PhysRevA.100.063608,scaling property tan contact embedding pair correlation effect tonks girardeau limit,physical review,scaling property tan contact embedding pair correlation effect tonks girardeau limit physical review,"Physical sciences, Astronomy"
10.1103/PhysRevLett.123.231108,increasing astrophysical reach advanced virgo detector via application squeezed vacuum state light,physical review letter,increasing astrophysical reach advanced virgo detector via application squeezed vacuum state light physical review letter,"Physical sciences, Astronomy"
10.1103/PhysRevLett.123.231102,new test lorentz invariance using microscope space mission,physical review letter,new test lorentz invariance using microscope space mission physical review letter,"Physical sciences, Astronomy"
10.12693/APhysPolA.136.790,microwave limiter implemented coupled dielectric resonator based topological defect mode symmetry breaking,acta physica polonica,microwave limiter implemented coupled dielectric resonator based topological defect mode symmetry breaking acta physica polonica,"Physical sciences, Astronomy"
10.1017/S1743921318003885,using gaia measure atmospheric dynamic agb star,proceeding international astronomical union,using gaia measure atmospheric dynamic agb star proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.1109/BIOCAS.2019.8919084,synchronous approach modeling spiking neuron,ieee biomedical circuit system conference biocas,synchronous approach modeling spiking neuron ieee biomedical circuit system conference biocas,Engineering
10.1103/PhysRevA.100.063845,anderson localization light dimension,physical review,anderson localization light dimension physical review,"Physical sciences, Astronomy"
10.4310/MRL.2019.v26.n4.a9,lower bound bogomolny schmit constant random monochromatic plane wave,mathematical research letter,lower bound bogomolny schmit constant random monochromatic plane wave mathematical research letter,Mathematics
10.1137/19M1254386,multilane macroscopic traffic flow model simple network,siam journal applied mathematics,multilane macroscopic traffic flow model simple network siam journal applied mathematics,Mathematics
10.1109/IPIN.2019.8911777,loc enhanced csi fingerprinting localization massive machine type communication ambient connectivity,international conference indoor positioning indoor navigation ipin,loc enhanced csi fingerprinting localization massive machine type communication ambient connectivity international conference indoor positioning indoor navigation ipin,Computer and information sciences
10.1017/S1743921318007354,looking new water fountain star,proceeding international astronomical union,looking new water fountain star proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.1109/BIOCAS.2019.8919210,sensor fusion using emg vision hand gesture classification mobile application,ieee biomedical circuit system conference biocas,sensor fusion using emg vision hand gesture classification mobile application ieee biomedical circuit system conference biocas,Computer and information sciences
10.1103/PhysRevLett.123.227401,voigt exceptional point anisotropic zno based planar microcavity square root topology polarization vortex circularity,physical review letter,voigt exceptional point anisotropic zno based planar microcavity square root topology polarization vortex circularity physical review letter,"Physical sciences, Astronomy"
10.1017/S095679251900038X,non local traffic flow model junction,european journal applied mathematics,non local traffic flow model junction european journal applied mathematics,Mathematics
10.1103/PhysRevD.100.122002,search gravitational wave scorpius second advanced ligo observing run improved hidden markov model,physical review,search gravitational wave scorpius second advanced ligo observing run improved hidden markov model physical review,"Physical sciences, Astronomy"
10.23919/EuMIC.2019.8909460,eumic programme,european microwave integrated circuit conference eumic,eumic programme european microwave integrated circuit conference eumic,Engineering
10.1109/ACCESS.2019.2940556,optimization efficient dual band pifa system mimo half duplex lte full duplex communication,ieee access,optimization efficient dual band pifa system mimo half duplex lte full duplex communication ieee access,Computer and information sciences
10.1134/S1068162019060256,comparative analysis nucleotide fluorescent analog registration dna conformational change induced interaction formamidopyrimidine dna glycosylase fpg,russian journal bioorganic chemistry,comparative analysis nucleotide fluorescent analog registration dna conformational change induced interaction formamidopyrimidine dna glycosylase fpg russian journal bioorganic chemistry,Biology (fond.)
10.1109/JQE.2019.2943477,efficient liyf laser sim effect energy transfer upconversion,ieee journal quantum electronics,efficient liyf laser sim effect energy transfer upconversion ieee journal quantum electronics,"Physical sciences, Astronomy"
10.1364/PRJ.8.000008,lithium niobate waveguide high index contrast preserved nonlinearity fabricated high vacuum vapor phase proton exchange,photonics research,lithium niobate waveguide high index contrast preserved nonlinearity fabricated high vacuum vapor phase proton exchange photonics research,"Physical sciences, Astronomy"
10.1074/jbc.RA119.010612,selectivity filter instability dominates low intrinsic activity twik channel,journal biological chemistry,selectivity filter instability dominates low intrinsic activity twik channel journal biological chemistry,Biology (fond.)
10.1109/APSEC48747.2019.00064,language based multi view approach combining functional security model,asia pacific software engineering conference apsec,language based multi view approach combining functional security model asia pacific software engineering conference apsec,Computer and information sciences
10.1134/S1068162019060220,new fluorescent analog nucleotide based hydroxychromone recording conformational change dna,russian journal bioorganic chemistry,new fluorescent analog nucleotide based hydroxychromone recording conformational change dna russian journal bioorganic chemistry,Chemistry
10.1103/PhysRevA.101.013601,density wave propagation two dimensional random dimer potential single bipartite square lattice,physical review,density wave propagation two dimensional random dimer potential single bipartite square lattice physical review,"Physical sciences, Astronomy"
10.7554/eLife.49708,content shape mrna storage decay human cell,elife,content shape mrna storage decay human cell elife,Biology (fond.)
10.1109/MASCOTS.2019.00022,disaster resilient cloud service provisioning elastic optical inter data center network,ieee international symposium modeling analysis simulation computer telecommunication system mascot,disaster resilient cloud service provisioning elastic optical inter data center network ieee international symposium modeling analysis simulation computer telecommunication system mascot,Computer and information sciences
10.1504/IJEPEE.2019.104634,heterogeneous common factor approach examination real effective exchange rate determinant,international journal economic policy emerging economy,heterogeneous common factor approach examination real effective exchange rate determinant international journal economic policy emerging economy,Mathematics
10.1103/PhysRevA.101.013617,collective excitation dynamic cold atom cloud,physical review,collective excitation dynamic cold atom cloud physical review,"Physical sciences, Astronomy"
10.1109/ISEE2.2019.8920853,design dual band rectenna small iot terminal,international symposium electrical electronics engineering isee,design dual band rectenna small iot terminal international symposium electrical electronics engineering isee,Engineering
10.1088/1757-899X/699/1/012049,tip induced domain growth non polar cut sbn single crystal,iop conference series material science engineering,tip induced domain growth non polar cut sbn single crystal iop conference series material science engineering,Engineering
10.1109/EMCCompo.2019.8919754,impact bypass capacitor placement ssn mcu based system modelling measurement,international workshop electromagnetic compatibility integrated circuit emc compo,impact bypass capacitor placement ssn mcu based system modelling measurement international workshop electromagnetic compatibility integrated circuit emc compo,Engineering
10.1109/EMCCompo.2019.8919757,pdn resonance frequency ftb robustness correlation,international workshop electromagnetic compatibility integrated circuit emc compo,pdn resonance frequency ftb robustness correlation international workshop electromagnetic compatibility integrated circuit emc compo,Engineering
10.11607/jomi.7670,implant placement performed surgical time orbital exenteration viable procedure,international journal oral maxillofacial implant,implant placement performed surgical time orbital exenteration viable procedure international journal oral maxillofacial implant,Medical research
10.1109/IEMCON.2019.8936264,adaptation embedded architecture run hyperledger sawtooth application,ieee annual information technology electronics mobile communication conference iemcon,adaptation embedded architecture run hyperledger sawtooth application ieee annual information technology electronics mobile communication conference iemcon,Computer and information sciences
10.1109/NCA.2019.8935060,self organized uav based supervision connectivity challenge opportunity,ieee international symposium network computing application nca,self organized uav based supervision connectivity challenge opportunity ieee international symposium network computing application nca,Computer and information sciences
10.1029/2019GL085649,damaged fault zone mitigate near field impact supershear earthquake application palu indonesia earthquake,geophysical research letter,damaged fault zone mitigate near field impact supershear earthquake application palu indonesia earthquake geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.1109/MASCOTS.2019.00016,closer new design principle privileged virtual machine,ieee international symposium modeling analysis simulation computer telecommunication system mascot,closer new design principle privileged virtual machine ieee international symposium modeling analysis simulation computer telecommunication system mascot,Computer and information sciences
10.23919/URSI-EMTS.2019.8931463,high order scalable hybridized discontinuous galerkin method frequency domain electromagnetics,ursi international symposium electromagnetic theory emts,high order scalable hybridized discontinuous galerkin method frequency domain electromagnetics ursi international symposium electromagnetic theory emts,Computer and information sciences
10.1017/S1743921319002138,unveiling whole part see forest tree,proceeding international astronomical union,unveiling whole part see forest tree proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.1364/OL.380712,phase only pulse shaper multi octave light source,optic letter,phase only pulse shaper multi octave light source optic letter,"Physical sciences, Astronomy"
10.1109/TSP.2019.2955860,lda via pca whitened data,ieee transaction signal processing,lda via pca whitened data ieee transaction signal processing,Computer and information sciences
10.5373/JARDCS/V11SP11/20193133,mapping built area cameroonian shore lake chad hinterland based object classification sentinel data,journal advanced research dynamical control system,mapping built area cameroonian shore lake chad hinterland based object classification sentinel data journal advanced research dynamical control system,"Earth, Ecology, Energy and applied biology"
10.1109/IINTEC.2017.8325935,activity description language activity recognition,international conference internet thing embedded system communication iintec,activity description language activity recognition international conference internet thing embedded system communication iintec,Computer and information sciences
10.1017/9781316662243.029,marketing organizational project management,cambridge handbook organizational project management,marketing organizational project management cambridge handbook organizational project management,Social sciences
10.1109/ACSSC.2017.8335711,graph diffusion lm strategy adaptive graph signal processing,asilomar conference signal system computer,graph diffusion lm strategy adaptive graph signal processing asilomar conference signal system computer,Computer and information sciences
10.1097/SLA.0000000000002412,impact different surgical technique outcome laparoscopic sleeve gastrectomy first report metabolic bariatric surgery accreditation quality improvement program mbsaqip,annals surgery,impact different surgical technique outcome laparoscopic sleeve gastrectomy first report metabolic bariatric surgery accreditation quality improvement program mbsaqip annals surgery,Medical research
10.1109/ICC.2018.8422952,adaptive video streaming multipath caching le more,ieee international conference communication icc,adaptive video streaming multipath caching le more ieee international conference communication icc,Computer and information sciences
10.3233/AIC-180752,combining argumentation aspect based opinion mining smack system,communication,combining argumentation aspect based opinion mining smack system communication,Computer and information sciences
10.1109/ICSC.2018.00058,synchronous approach activity recognition,ieee international conference semantic computing icsc,synchronous approach activity recognition ieee international conference semantic computing icsc,Computer and information sciences
10.1109/FG.2018.00114,jemime serious game teach child asd adequately produce facial expression,ieee international conference automatic face gesture recognition,jemime serious game teach child asd adequately produce facial expression ieee international conference automatic face gesture recognition,Computer and information sciences
10.2112/SI85-083.1,circular sedimentary figure anthropic origin sediment stability context,journal coastal research,circular sedimentary figure anthropic origin sediment stability context journal coastal research,"Earth, Ecology, Energy and applied biology"
10.23919/ONDM.2018.8396102,path protection optical flexible network distance adaptive modulation format,international conference optical network design modeling ondm,path protection optical flexible network distance adaptive modulation format international conference optical network design modeling ondm,Computer and information sciences
10.1109/TSIPN.2018.2863218,reducing communication cost diffusion lm algorithm,ieee transaction signal information processing network,reducing communication cost diffusion lm algorithm ieee transaction signal information processing network,Computer and information sciences
10.23919/WIOPT.2018.8362846,analysis qoe adaptive video streaming wireless network,international symposium modeling optimization mobile hoc wireless network wiopt,analysis qoe adaptive video streaming wireless network international symposium modeling optimization mobile hoc wireless network wiopt,Computer and information sciences
10.18653/v1/d17-1245,argument mining twitter argument fact source,proceeding conference empirical method natural language processing,argument mining twitter argument fact source proceeding conference empirical method natural language processing,Humanities
10.1164/rccm.201707-1500IM,stat gain function new kid block interstitial lung disease,american journal respiratory critical care medicine,stat gain function new kid block interstitial lung disease american journal respiratory critical care medicine,Medical research
10.1109/CAMSAP.2017.8313143,online deconvolution pushbroom hyperspectral imaging system,ieee international workshop computational advance multi sensor adaptive processing camsap,online deconvolution pushbroom hyperspectral imaging system ieee international workshop computational advance multi sensor adaptive processing camsap,Computer and information sciences
10.1364/NP.2018.NpTh1G.4,laser injected signal beyond integrate fire excitable dynamic,advanced photonics bgpp ipr noma sensor network sppcom sof,laser injected signal beyond integrate fire excitable dynamic advanced photonics bgpp ipr noma sensor network sppcom sof,"Physical sciences, Astronomy"
10.1109/TSIPN.2016.2615526,guest editorial inference learning network,ieee transaction signal information processing network,guest editorial inference learning network ieee transaction signal information processing network,Computer and information sciences
10.1137/17M1141205,stability result periodic solution nonmonotonic smooth negative feedback system,siam journal applied dynamical system,stability result periodic solution nonmonotonic smooth negative feedback system siam journal applied dynamical system,Mathematics
10.1109/ISBI.2018.8363804,analytical fiber odf reconstruction polarized light imaging,ieee international symposium biomedical imaging isbi,analytical fiber odf reconstruction polarized light imaging ieee international symposium biomedical imaging isbi,Medical research
10.1109/JSAC.2018.2844982,implicit coordination cache small cell network unknown popularity profile,ieee journal selected area communication,implicit coordination cache small cell network unknown popularity profile ieee journal selected area communication,Computer and information sciences
10.23736/S1973-9087.17.04722-0,contraction around knee ankle joint post stroke gait,european journal physical rehabilitation medicine,contraction around knee ankle joint post stroke gait european journal physical rehabilitation medicine,Medical research
10.1109/EDUCON.2018.8363459,internet thing education labor market training need national policy,ieee global engineering education conference educon,internet thing education labor market training need national policy ieee global engineering education conference educon,Social sciences
10.1128/JCM.01223-19,real time pcr targeting rep suitable diagnosis toxoplasmosis patient infected non type strain north america,journal clinical microbiology,real time pcr targeting rep suitable diagnosis toxoplasmosis patient infected non type strain north america journal clinical microbiology,Medical research
10.2528/pierc19102905,miniature implanted antenna uhf rfid application,progress electromagnetics research,miniature implanted antenna uhf rfid application progress electromagnetics research,Computer and information sciences
10.1096/fj.201901799RR,redd deficiency protects nonalcoholic hepatic steatosis induced high fat diet,faseb journal,redd deficiency protects nonalcoholic hepatic steatosis induced high fat diet faseb journal,Biology (fond.)
10.1109/LAWP.2019.2961114,dtc enabled frequency tunable inverted antenna iot application,ieee antenna wireless propagation letter,dtc enabled frequency tunable inverted antenna iot application ieee antenna wireless propagation letter,Computer and information sciences
10.1109/CAMA47423.2019.8959670,impact terminal polarization urban channel wan application,ieee conference antenna measurement application cama,impact terminal polarization urban channel wan application ieee conference antenna measurement application cama,Computer and information sciences
10.1029/2019GL086224,statistical significance foreshock sequence southern california,geophysical research letter,statistical significance foreshock sequence southern california geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.1364/BOE.381666,new algorithm single molecule localization microscopy,biomedical optic express,new algorithm single molecule localization microscopy biomedical optic express,"Physical sciences, Astronomy"
10.1029/2019GL086798,inter episodic tremor slip event episode quasi spatiotemporally discrete tremor low frequency earthquake cascadia suggestive connective underlying heterogeneous process,geophysical research letter,inter episodic tremor slip event episode quasi spatiotemporally discrete tremor low frequency earthquake cascadia suggestive connective underlying heterogeneous process geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.1142/S0217751X19502361,comparison qcd curve elastic scattering data,international journal modern physic,comparison qcd curve elastic scattering data international journal modern physic,"Physical sciences, Astronomy"
10.1109/CAMA47423.2019.8959446,high isolated mimo antenna system full duplex application,ieee conference antenna measurement application cama,high isolated mimo antenna system full duplex application ieee conference antenna measurement application cama,Computer and information sciences
10.1029/2019JB018138,full field mean field modeling grain growth multiphase material dry condition application peridotite,journal geophysical research solid earth,full field mean field modeling grain growth multiphase material dry condition application peridotite journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevE.101.012212,bifurcation structure swept source laser,physical review,bifurcation structure swept source laser physical review,"Physical sciences, Astronomy"
10.1109/PCS48520.2019.8954519,geometry aware compression mesh texture random access,picture coding symposium pc,geometry aware compression mesh texture random access picture coding symposium pc,Computer and information sciences
10.5486/PMD.2020.8640,descartes rule sign modulus root,publicationes mathematicae debrecen,descartes rule sign modulus root publicationes mathematicae debrecen,Mathematics
10.1364/OE.382650,close look cubic kyfcrystal highly efficient lasing theh htransition,optic express,close look cubic kyfcrystal highly efficient lasing theh htransition optic express,"Physical sciences, Astronomy"
10.1016/B978-0-12-809665-9.09755-X,mass change antarctica response changing climate,encyclopedia anthropocene,mass change antarctica response changing climate encyclopedia anthropocene,"Earth, Ecology, Energy and applied biology"
10.1109/TGRS.2019.2944464,compound regularization full waveform inversion imaging piecewise medium,ieee transaction geoscience remote sensing,compound regularization full waveform inversion imaging piecewise medium ieee transaction geoscience remote sensing,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevA.101.013633,finite temperature contact fermi gas trapped one dimensional harmonic confinement,physical review,finite temperature contact fermi gas trapped one dimensional harmonic confinement physical review,"Physical sciences, Astronomy"
10.1016/B978-0-12-801238-3.65215-7,tunneling nanotube tnt intratumoral cell cell communication mitochondrion trafficking connection tunneling nanotube effect cell metabolism response therapy,reference module biomedical science,tunneling nanotube tnt intratumoral cell cell communication mitochondrion trafficking connection tunneling nanotube effect cell metabolism response therapy reference module biomedical science,Biology (fond.)
10.4310/CMS.2019.v17.n8.a6,regularizing effect conservation law lipschitz convex flux,communication mathematical science,regularizing effect conservation law lipschitz convex flux communication mathematical science,Mathematics
10.1103/PhysRevA.101.023605,full distribution superfluid fraction extreme value statistic one dimensional disordered bose gas,physical review,full distribution superfluid fraction extreme value statistic one dimensional disordered bose gas physical review,"Physical sciences, Astronomy"
10.1029/2019JE006086,high resolution gravity field model grail data implication model density structure moon crust,journal geophysical research planet,high resolution gravity field model grail data implication model density structure moon crust journal geophysical research planet,"Earth, Ecology, Energy and applied biology"
10.1029/2019JE006100,full field modeling heat transfer asteroid regolith radiative thermal conductivity polydisperse particulate,journal geophysical research planet,full field modeling heat transfer asteroid regolith radiative thermal conductivity polydisperse particulate journal geophysical research planet,"Earth, Ecology, Energy and applied biology"
10.3233/JAD-190612,brain volume predicts behavioral psychological symptom alzheimer disease,journal alzheimer disease,brain volume predicts behavioral psychological symptom alzheimer disease journal alzheimer disease,Medical research
10.1016/j.reval.2020.02.004,voyager service science humanisme prince albert ier monaco,revue française allergologie,voyager service science humanisme prince albert ier monaco revue française allergologie,Medical research
10.1017/S174392131900440X,milky way bulge reveals initial metallicity gradient disc,proceeding international astronomical union,milky way bulge reveals initial metallicity gradient disc proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.1109/TGRS.2019.2949543,low rank tensor modeling hyperspectral unmixing accounting spectral variability,ieee transaction geoscience remote sensing,low rank tensor modeling hyperspectral unmixing accounting spectral variability ieee transaction geoscience remote sensing,"Earth, Ecology, Energy and applied biology"
10.1113/JP279203,tresk background channel deletion selectively uncovers enhanced mechanical cold sensitivity,journal physiology,tresk background channel deletion selectively uncovers enhanced mechanical cold sensitivity journal physiology,Biology (fond.)
10.1103/PhysRevA.101.023829,cooperative spontaneous emission via renormalization approach classical versus semiclassical effect,physical review,cooperative spontaneous emission via renormalization approach classical versus semiclassical effect physical review,"Physical sciences, Astronomy"
10.1029/2019JB018001,structural control megathrust rupture slip behavior insight pedernales ecuador earthquake,journal geophysical research solid earth,structural control megathrust rupture slip behavior insight pedernales ecuador earthquake journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
10.1109/JSEN.2019.2953231,fiber optic refractive index distributed multi sensor scattering level multiplexing mgo nanoparticle doped fiber,ieee sensor journal,fiber optic refractive index distributed multi sensor scattering level multiplexing mgo nanoparticle doped fiber ieee sensor journal,"Physical sciences, Astronomy"
10.1103/PhysRevA.101.023803,photon statistic dynamic nanolasers subject intensity feedback,physical review,photon statistic dynamic nanolasers subject intensity feedback physical review,"Physical sciences, Astronomy"
10.1029/2019JB017781,complexity fault rupture fluid leakage shale insight controlled fault activation experiment,journal geophysical research solid earth,complexity fault rupture fluid leakage shale insight controlled fault activation experiment journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
10.1042/BST20191010,using single cell rna sequencing unravel cell lineage relationship respiratory tract,biochemical society transaction,using single cell rna sequencing unravel cell lineage relationship respiratory tract biochemical society transaction,Biology (fond.)
10.1109/TIP.2020.2978342,blind multiscale spatial regularization framework kernel based spectral unmixing,ieee transaction image processing,blind multiscale spatial regularization framework kernel based spectral unmixing ieee transaction image processing,Computer and information sciences
10.1109/CDC40024.2019.9029896,sufficient condition time optimality system control disk,ieee conference decision control cdc,sufficient condition time optimality system control disk ieee conference decision control cdc,Computer and information sciences
10.1017/S0016756820000102,protolith nature evolution variscan metamorphic rock allahyarlu complex iran,geological magazine,protolith nature evolution variscan metamorphic rock allahyarlu complex iran geological magazine,"Earth, Ecology, Energy and applied biology"
10.1109/CDC40024.2019.9030208,modeling impact line navigation device traffic flow,ieee conference decision control cdc,modeling impact line navigation device traffic flow ieee conference decision control cdc,Computer and information sciences
10.1142/S0218001420400029,ontology based image classification annotation,international journal pattern recognition artificial intelligence,ontology based image classification annotation international journal pattern recognition artificial intelligence,Computer and information sciences
10.1016/B978-0-12-812752-0.00010-1,numerical geomechanics study geological carbon storage gc,science carbon storage deep saline formation,numerical geomechanics study geological carbon storage gc science carbon storage deep saline formation,"Earth, Ecology, Energy and applied biology"
10.1074/jbc.RA119.012012,molecular cellular dissection oxysterol binding protein cycle fluorescent inhibitor,journal biological chemistry,molecular cellular dissection oxysterol binding protein cycle fluorescent inhibitor journal biological chemistry,Biology (fond.)
10.1109/CDC40024.2019.9029785,attitude observation second order attitude kinematics,ieee conference decision control cdc,attitude observation second order attitude kinematics ieee conference decision control cdc,Computer and information sciences
10.1109/ICSPCS47537.2019.9008759,semi supervised receiver mimo system multiple khatri rao coding,international conference signal processing communication system icspcs,semi supervised receiver mimo system multiple khatri rao coding international conference signal processing communication system icspcs,Computer and information sciences
10.1109/PIERS-Fall48861.2019.9021353,revisit cherenkov radiation hyperbolic metamaterials,photonics electromagnetics research symposium fall pier fall,revisit cherenkov radiation hyperbolic metamaterials photonics electromagnetics research symposium fall pier fall,"Physical sciences, Astronomy"
10.1109/TIM.2020.2971891,special section sensor application symposium,ieee transaction instrumentation measurement,special section sensor application symposium ieee transaction instrumentation measurement,Computer and information sciences
10.1109/CDC40024.2019.9029435,geometric observer design visual localisation mapping,ieee conference decision control cdc,geometric observer design visual localisation mapping ieee conference decision control cdc,Computer and information sciences
10.1109/BigData47090.2019.9006278,towards high level description generating stream processing benchmark application,ieee international conference big data big data,towards high level description generating stream processing benchmark application ieee international conference big data big data,Computer and information sciences
10.1016/B978-0-12-813677-5.00003-1,multitask learning adaptive network grouping strategy,cooperative graph signal processing,multitask learning adaptive network grouping strategy cooperative graph signal processing,Computer and information sciences
10.1109/CDC40024.2019.9029274,automatic control convertible fixed wing drone vectorized thrust,ieee conference decision control cdc,automatic control convertible fixed wing drone vectorized thrust ieee conference decision control cdc,Computer and information sciences
